girl,age,num_people,jerib_cnt,sheep_cnt,treatment,formal_school,test_score
1,8,8,0,8,1,1,73
1,7,8,0,8,1,0,57
1,6,9,1,10,1,1,73
1,7,9,1,10,1,1,81
1,10,9,1,10,1,0,60
1,9,8,1,8,1,1,89
1,9,8,0,8,1,1,63
1,10,6,0,0,1,1,69
1,7,8,0.5,2,1,1,65
1,9,8,0.5,2,1,0,85
1,8,3,0,6,1,1,66
1,9,6,0,0,1,1,80
1,9,5,0,2,1,1,81
1,8,10,0,20,1,1,65
1,8,12,0,30,1,0,64
1,9,7,0,9,1,1,93
1,8,13,1,10,1,1,73
1,7,9,0,9,1,1,75
1,8,17,0,15,1,1,73
1,10,17,0,15,1,1,80
1,8,13,0,150,1,1,90
1,11,13,0,150,1,1,97
1,11,5,1,50,1,0,95
1,6,5,1,50,1,0,63
1,7,8,1,20,1,0,67
1,11,8,1,20,1,0,79
1,6,8,1,20,1,0,61
1,9,7,5,30,1,0,74
1,9,7,0,10,1,1,93
1,7,7,0,10,1,1,90
1,9,9,2,7,1,1,93
1,6,9,2,7,1,1,88
1,7,10,0,10,1,0,64
1,8,10,0,10,1,0,63
1,6,9,4,60,1,0,67
1,10,20,5,40,1,1,78
1,7,20,5,40,1,1,83
1,10,20,5,40,1,1,82
1,9,9,0,0,1,1,83
1,6,9,0,0,1,0,62
1,7,6,1,0,1,0,73
1,9,6,1,0,1,1,88
1,9,7,0,0,1,0,62
1,11,7,0,0,1,0,72
1,11,7,0,0,1,0,75
1,11,10,0,4,1,1,93
1,11,16,1,0,1,0,69
1,8,16,1,0,1,0,73
1,7,16,1,0,1,0,61
1,8,16,1,0,1,0,65
1,9,16,1,0,1,1,93
1,7,11,2,0,1,1,77
1,6,11,2,0,1,1,62
1,11,4,0,0,1,1,62
1,7,13,1,7,1,1,62
1,10,13,1,7,1,1,75
1,8,13,1,7,1,1,77
1,7,4,1,0,1,0,58
1,11,11,3,6,1,0,65
1,7,11,3,6,1,0,69
1,7,13,3,30,1,0,65
1,10,13,3,30,1,0,81
1,8,9,1,0,1,0,73
1,8,5,1,10,1,0,65
1,10,5,1,10,1,1,79
1,6,4,0,0,1,0,60
1,7,13,3,7,1,1,85
1,6,13,3,7,1,1,57
1,11,13,3,7,1,1,59
1,10,7,0,0,1,1,81
1,10,8,5,10,1,1,85
1,10,8,2,4,1,0,85
1,6,7,1,0,1,0,57
1,11,8,1,0,1,0,81
1,8,17,4,5,1,1,65
1,9,6,2,0,1,0,64
1,10,6,2,0,1,0,67
1,8,5,1,0,1,1,72
1,6,6,0.5,10,1,0,65
1,8,6,0.5,10,1,0,81
1,11,6,0,0,1,1,82
1,8,12,2,0,1,0,81
1,6,12,2,0,1,0,64
1,11,9,1,0,1,1,82
1,6,9,1,0,1,0,61
1,8,9,1,0,1,1,85
1,8,6,0,1,1,1,77
1,8,5,3,10,1,1,67
1,11,6,1,10,1,0,66
1,11,5,0,0,1,1,91
1,11,22,5,10,1,1,73
1,10,9,0,0,1,1,84
1,6,7,3,0,1,0,65
1,11,8,2,10,1,1,81
1,10,8,2,10,1,1,62
1,9,10,0,3,1,1,79
1,7,10,0,3,1,0,57
1,6,5,2,0,1,0,59
1,7,15,1,10,1,1,85
1,10,15,1,10,1,1,90
1,11,15,1,10,1,0,77
1,7,7,0,0,0,0,58
1,6,8,0,5,0,0,62
1,8,8,0,5,0,0,65
1,8,8,0,10,0,0,66
1,6,8,0,10,0,0,62
1,10,10,0,8,0,0,67
1,9,9,1,4,0,0,60
1,7,9,0,4,0,0,69
1,6,9,0,4,0,0,57
1,10,14,10,10,0,0,81
1,6,14,10,10,0,0,58
1,8,9,0,20,0,0,61
1,6,9,0,20,0,0,60
1,7,6,0,5,0,0,66
1,11,9,1,10,0,0,79
1,6,5,0,60,0,0,57
1,7,6,1,10,0,0,63
1,7,7,3,0.5,0,0,66
1,8,3,1,3,0,0,64
1,8,8,0,5,0,0,68
1,10,14,0,0,0,0,68
1,8,14,0,0,0,0,61
1,6,6,0,1,0,0,60
1,11,6,0,5,0,0,69
1,8,9,0,1,0,0,64
1,10,4,1,0,0,0,62
1,9,12,6,0,0,0,62
1,10,10,3,0,0,0,61
1,8,10,0,0,0,0,60
1,11,10,0,0,0,0,65
1,6,8,5,9,0,0,63
1,11,8,5,9,0,0,73
1,7,4,1,0,0,0,57
1,9,7,0.5,2,0,0,73
1,11,10,2,3,0,0,67
1,9,8,0,0,0,0,62
1,7,3,0,0,0,0,57
1,11,6,0,20,0,0,65
1,9,7,0,0,0,0,64
1,7,8,1,5,0,0,68
1,9,8,0,0,0,0,58
1,11,9,1,1,0,0,65
1,10,5,1,9,0,0,63
1,7,5,1,5,0,0,64
1,10,4,0,0,0,0,63
1,10,7,10,0,0,0,65
1,7,7,10,0,0,0,57
1,11,7,10,0,0,0,62
1,10,8,5,10,0,0,62
1,8,8,2,10,0,0,61
1,7,10,1,10,0,0,67
1,9,10,1,10,0,0,67
1,11,10,1,10,0,0,65
1,7,7,1,15,0,0,61
1,6,13,0,2,0,0,62
1,7,13,0,2,0,0,65
1,11,8,0.5,10,0,0,65
1,7,8,0.5,10,0,0,61
1,11,6,0.5,3,0,0,80
1,10,6,0.5,3,0,0,80
1,10,14,2,15,0,0,85
1,7,7,0,5,0,0,84
1,9,8,0,0,0,0,63
1,7,8,0,0,0,0,61
1,9,7,1,10,0,0,73
1,6,7,1,10,0,1,63
1,6,13,3,0,0,0,71
1,8,13,3,0,0,0,69
1,10,10,0,0,0,0,64
1,7,7,0,5,0,0,60
1,9,7,0,5,0,0,60
1,9,8,0,5,0,0,61
1,6,5,0,0,0,0,58
1,8,6,0,4,0,0,65
1,10,7,0,4,0,1,81
1,7,7,0,4,0,1,57
1,11,8,0,30,0,1,81
1,7,8,0,5,0,0,61
1,9,18,0,0,0,1,85
1,8,18,0,0,0,1,84
1,11,18,0,0,0,1,70
1,9,10,0,7,0,0,68
1,11,10,0,7,0,0,75
1,10,11,0,20,0,0,89
1,7,11,0,20,0,0,63
1,7,10,0,0,0,0,65
1,8,7,0.5,2,0,0,69
1,7,4,1,0,0,0,64
1,9,6,2,20,0,1,57
1,7,6,0,10,0,0,67
1,9,6,0,2,0,0,81
1,7,6,0,2,0,0,61
1,7,4,1,5,0,0,64
1,8,8,0,2,0,1,69
1,8,9,2,0,0,0,63
1,10,9,2,0,0,1,81
1,7,9,1,50,0,0,66
1,9,6,0,5,0,0,61
1,11,6,4,0,0,1,81
1,7,7,0,8,0,0,61
1,11,7,0,8,0,0,67
1,7,5,0,0,0,0,63
1,7,7,0,5,0,1,68
1,10,7,0,5,0,1,69
1,10,10,0,5,0,1,72
1,11,5,1,70,0,0,83
1,10,7,0,3,0,0,64
1,6,12,1,2,0,1,65
1,8,12,1,2,0,1,73
1,10,12,1,2,0,1,63
1,10,7,0,5,0,1,73
1,6,12,2,10,0,0,61
1,8,6,1,10,0,1,87
1,11,10,0.5,6,0,0,86
1,6,10,0.5,6,0,0,68
1,6,15,1,20,0,0,69
1,10,15,1,20,0,0,73
1,11,7,1,7,0,0,81
1,7,10,0,2,0,1,73
1,10,8,0,10,0,1,67
1,8,8,0,10,0,1,62
1,9,9,1,10,0,1,83
1,9,13,1,6,0,0,75
1,7,5,0,7,0,0,61
1,7,7,1,10,0,1,67
1,10,7,1,10,0,0,85
1,10,10,3,30,0,0,74
1,10,6,1,0,0,1,68
1,11,7,3,20,0,0,82
1,7,7,3,20,0,1,64
1,7,9,0,10,0,0,59
1,9,9,2,10,0,1,65
1,9,9,2,10,0,1,65
1,6,5,0.5,1,0,1,59
1,7,7,1,10,0,1,66
1,10,7,1,10,0,0,70
1,8,10,0,0,0,1,62
1,11,14,3,10,0,1,64
1,10,14,3,10,0,1,74
1,10,14,3,10,0,0,60
1,8,9,0,1,0,1,77
1,9,7,1.5,10,0,1,69
1,11,8,1,10,0,1,72
1,7,8,1,10,0,0,73
1,9,6,1,0,0,1,80
1,8,11,2,40,0,1,69
1,10,7,1,10,0,0,57
1,7,5,1,0,0,0,59
1,9,8,1,10,0,0,65
1,7,8,1,10,0,0,61
1,6,8,0,0,0,0,60
1,6,8,0,10,0,0,60
1,8,8,0,10,0,1,68
1,10,8,0,10,0,1,79
1,9,11,0.5,20,0,1,68
1,8,8,1,40,0,1,65
1,6,8,6,30,0,1,60
1,11,10,2,20,0,0,73
1,6,10,2,20,0,1,57
1,11,7,2,10,1,1,92
1,7,9,0,6,1,1,64
1,10,9,0,6,1,0,76
1,7,9,0,2,1,0,65
1,7,9,0,6,1,1,63
1,9,6,0,2,1,1,75
1,7,7,0,10,1,0,57
1,10,7,0,10,1,1,88
1,7,9,1,3,1,1,66
1,9,9,1,3,1,0,69
1,8,8,3,10,1,1,70
1,8,8,2,10,1,0,62
1,9,7,1,10,1,1,76
1,9,8,2,10,1,1,63
1,10,5,1,4,1,1,79
1,10,5,0,0,1,1,63
1,8,7,2,4,1,1,77
1,10,7,2,4,1,1,82
1,9,7,0,0,1,1,82
1,7,10,4,0,1,0,65
1,10,14,2,8,1,1,86
1,10,5,2,5,1,1,77
1,7,11,0,3,1,1,65
1,7,9,2,9,1,1,73
1,8,6,1.5,5,1,1,78
1,11,9,1,4,1,1,91
1,11,9,0,3,1,1,89
1,8,9,0,3,1,1,73
1,10,9,0,3,1,1,85
1,NA,10,0,3,1,1,87
1,9,10,0,3,1,1,79
1,7,10,0,3,1,1,59
1,11,3,1,3,1,1,77
1,9,8,0.5,3,1,1,81
1,7,8,0.5,3,1,0,61
1,8,5,1,2,1,1,79
1,11,6,0,2,1,1,82
1,7,6,1,4,1,1,72
1,7,7,1,5,1,0,60
1,7,6,5,50,1,0,60
1,7,9,0,15,1,1,80
1,9,5,1,5,1,1,81
1,8,7,0,4,1,1,65
1,8,10,1,7,1,1,83
1,11,4,1,0,1,0,76
1,9,8,3,3,1,1,88
1,10,8,2,6,1,1,74
1,11,8,2,6,1,0,66
1,11,11,1,0,1,1,76
1,8,11,1,0,1,1,65
1,9,8,0,3,1,1,74
1,11,8,0,3,1,1,76
1,9,8,2,3,1,1,80
1,8,7,3,10,1,1,75
1,10,6,2,4,1,1,82
1,8,8,1,2,1,0,65
1,11,4,1,10,1,1,92
1,7,8,1,10,1,0,65
1,6,8,0.5,4,1,0,61
1,10,7,2,5,1,1,91
1,11,11,0.5,6,1,1,85
1,11,10,1,0,1,1,77
1,10,33,3,30,1,1,89
1,8,33,3,30,1,1,73
1,11,8,0,3,1,1,90
1,7,4,0,0,1,1,60
1,7,9,0,2,1,0,60
1,10,7,1,0,1,1,94
1,8,10,3,3,1,1,82
1,7,6,0,0,1,1,65
1,7,7,0,4,1,1,63
1,10,15,2,1,1,1,90
1,7,10,3,10,1,1,64
1,11,15,0.5,20,1,1,73
1,8,17,3,3,1,1,77
1,9,9,2,3,1,1,65
1,10,9,2,3,1,1,81
1,9,15,10,8,1,1,60
1,9,10,0.5,0,1,1,60
1,10,7,2,6,1,1,70
1,7,6,1.5,0,1,0,64
1,10,12,2,17,1,1,81
1,9,12,2,17,1,1,81
1,11,6,0.5,2,1,1,91
1,8,11,3,25,1,1,61
1,10,11,0,2,1,1,89
1,6,11,0,2,1,0,60
1,7,6,2,5,1,0,60
1,7,10,0,5,1,1,62
1,7,6,2,4,1,1,87
1,11,8,1,2,1,1,78
1,7,6,0,0,1,0,71
1,7,5,0.5,0,0,0,61
1,11,8,4,8,0,0,67
1,11,4,0,0,0,0,69
1,9,7,0,0,0,0,61
1,9,7,2,0,0,0,64
1,7,8,3,0,0,0,58
1,11,9,1,0,0,0,89
1,7,8,0,0,0,0,65
1,9,8,0,0,0,0,65
1,8,19,2,0,0,0,61
1,7,8,0.5,0,0,0,60
1,8,12,1,4,0,0,66
1,7,6,0,2,0,0,66
1,11,5,0,0,0,1,72
1,9,7,0,0,0,1,82
1,8,12,2,7,0,0,64
1,7,7,0,1,0,0,60
1,10,7,0,1,0,0,69
1,11,5,3,1,0,0,68
1,8,13,2,0,0,0,65
1,10,13,2,0,0,0,66
1,10,5,0.5,6,0,0,65
1,10,8,1,9,0,0,62
1,9,10,0,6,0,0,60
1,10,10,0,6,0,0,60
1,7,3,0,6,0,0,60
1,8,10,2,5,0,0,62
1,11,7,0,0,0,0,93
1,9,15,0,7,0,0,77
1,7,8,0,5,0,0,60
1,10,5,1,4,0,0,65
1,6,7,3,10,0,0,68
1,8,7,3,10,0,0,73
1,11,4,3,10,0,0,83
1,7,6,1,2,0,0,65
1,6,8,0.5,0,0,0,62
1,8,8,0.5,0,0,0,65
1,9,3,4,10,0,0,69
1,8,7,3,13,0,0,62
1,8,7,3,5,0,0,63
1,7,6,0,1,0,0,60
1,7,6,0,2,0,0,60
1,10,7,0,1,0,0,78
1,10,7,0,0,0,0,67
1,7,8,0.5,15,0,0,62
1,7,10,0,20,0,0,62
1,11,7,1,6,0,0,62
1,7,6,0,0,0,0,59
1,9,6,0,0,0,0,65
1,7,11,3,5,0,0,61
1,9,11,3,5,0,0,62
1,9,4,1,0,0,1,74
1,8,10,0.5,5,0,0,64
1,10,10,0.5,5,0,0,65
1,7,6,0,0,0,1,81
1,10,15,0,7,0,0,79
1,11,15,0,7,0,0,78
1,7,13,0,0,0,0,77
1,8,6,0,0,0,1,74
1,9,12,0,0,0,0,64
1,8,12,0,0,0,0,63
1,6,7,0,0,0,0,63
1,7,6,0,0,0,0,63
1,8,7,0,0,0,0,73
1,10,8,2,0,0,0,80
1,9,8,2,0,0,0,84
1,9,8,3,7,0,0,65
1,9,7,1,0,0,0,60
1,7,7,2,0,0,0,61
1,6,4,1,0,0,0,57
1,10,9,2,0,0,0,77
1,8,6,0,1,0,0,67
1,11,6,0,1,0,0,77
1,9,4,0.5,5,0,0,64
1,8,10,0,0,0,0,61
1,7,15,1,0,0,0,65
1,10,15,1,0,0,0,78
1,8,7,1,5,0,0,62
1,7,6,0.5,0,0,0,65
1,9,6,2,5,0,0,61
1,9,8,2,0,0,0,65
1,11,8,2,0,0,0,69
1,7,8,2,0,0,0,62
1,8,6,0.5,0,0,0,65
1,10,10,0,5,0,0,63
1,7,5,1,5,0,0,67
1,8,6,2,0,0,0,67
1,9,5,0,0,0,0,69
1,8,8,1,4,0,0,61
1,11,6,1,15,0,0,60
1,10,7,0,0,0,0,58
1,9,10,0,10,0,0,57
1,11,8,2,10,0,0,63
1,9,8,0,0,0,0,67
1,6,4,0,0,0,0,57
1,11,6,2,5,0,0,64
1,8,6,2,5,0,0,60
1,9,6,2,2,0,0,63
1,9,3,0.5,0,0,0,76
1,9,6,0.5,2,0,0,64
1,11,4,1,3,0,0,66
1,7,10,2,5,0,0,63
1,8,10,2,5,0,0,71
1,7,6,0.5,2,0,0,62
1,10,7,1,0,0,0,61
1,7,5,0,0,0,0,71
1,9,5,0,0,0,0,68
1,8,9,0.5,3,0,0,67
1,11,9,0.5,3,0,0,81
1,10,5,0.5,10,0,0,70
1,8,9,2,10,0,0,64
1,10,12,1,4,0,0,73
1,10,7,1,5,0,0,67
1,8,3,0,5,0,0,60
1,11,9,1,10,0,0,71
1,6,9,1,10,0,0,62
1,7,9,1,10,0,0,67
1,10,9,1,10,0,0,64
1,9,8,2,5,0,0,62
1,6,8,2,5,0,0,62
1,8,12,4,25,0,0,67
1,7,12,4,25,0,0,62
1,11,12,4,25,0,0,66
1,7,10,5,8,0,0,64
1,11,10,5,8,0,0,68
1,8,10,5,8,0,0,67
1,11,12,5,15,0,0,78
1,8,7,0,0,0,0,61
1,8,14,2,25,0,0,65
1,11,6,0.5,5,0,0,64
1,8,5,0.5,2,0,0,64
1,10,6,2,0,0,0,65
1,11,9,0.5,2,0,0,65
1,7,7,2,10,0,0,63
1,8,7,1,5,0,0,63
1,10,7,1,5,0,0,66
1,10,6,1,4,0,0,71
1,8,6,1,4,0,0,70
1,11,6,0,6,0,0,67
1,7,10,1,5,0,0,67
1,6,6,0,5,0,0,60
1,7,9,3,8,0,0,60
1,7,10,2,10,0,0,60
1,6,10,2,10,0,0,60
1,10,10,2,10,0,0,68
1,8,10,2,10,0,0,66
1,10,3,1,3,0,0,63
1,10,8,0,15,0,0,75
1,7,10,0.5,7,0,0,58
1,7,9,1,6,0,0,60
1,7,6,1,3,0,0,63
1,10,5,1,3,0,0,76
1,8,9,3,8,0,0,57
1,8,6,2,2,0,0,65
1,8,8,1,4,0,1,61
1,6,8,1,4,0,0,61
1,10,8,1,4,0,1,62
1,8,3,1,4,0,0,61
1,10,10,0.5,10,0,0,64
1,8,10,1,0,0,0,64
1,7,10,1,0,0,0,62
1,7,8,1,10,0,0,64
1,10,8,1,10,0,0,69
1,7,9,1,3,0,0,61
1,9,9,1,3,0,0,60
1,8,10,3,8,0,0,61
1,10,10,3,8,0,0,64
1,7,3,0,0,0,0,61
1,8,10,2,0,0,0,62
1,6,4,1.5,3,0,0,61
1,11,13,2,10,0,0,60
1,8,13,2,10,0,0,60
1,8,10,2,15,0,0,60
1,8,6,0,0,0,0,62
1,10,7,1,0,0,0,63
1,8,7,1,0,0,0,61
1,8,7,1,7,0,0,64
1,6,9,1,4,0,0,60
1,8,9,1,4,0,0,60
1,6,5,0.5,0,0,0,61
1,9,8,2,0,0,0,62
1,8,9,1,10,0,0,61
1,7,5,0.5,3,0,0,57
